Demanda;Categoria
Documentos encaminhados no dia 33/33/3333, e até o momento nossa SUSEP consta em sistema como suspensa. Precisamos de agilidade, tendo em vista que precisamos dela ativa para comercializar, renovar e endossar os seguros. Atenciosamente Samir;Cadastro
"Prezados,Tenho dúvidas relacionadas à Circular Susep nº 333, de 33 de agosto de 3333, que dispõe sobre as regras e os critérios para operação de seguros do grupo automóvel, mais precisamente em seu Art. 33:""Art. 33.  Para fins de reparação do veículo em caso de sinistro, é admitido o uso de peças novas, originais ou não, nacionais ou importadas, desde que mantenham as especificações técnicas do fabricante.(...)§ 3º As condições contratuais deverão esclarecer em quais componentes poderão ser utilizados os diferentes tipos de peças, conforme as opções de que trata este artigo.""DÚVIDAS:(3) Qual a definição de ""PEÇAS ORIGINAIS""? Como classificar uma peça como original ou não original para uma data marca/modelo/versão de automóvel?(3) O § 3º do Art. 33 estabelece que ""as condições contratuais DEVERÃO ESCLARECER em QUAIS COMPONENTES PODERÃO ser utilizados os diferentes tipos de peças"". Quando a apólice do seguro NÃO ESCLARECE e NÃO discrimina em quais componentes poderão ser utilizados os diferentes tipos de peças, como se deve interpretar o Art. 33? Deve ser presumido que as peças devam ser originais, neste caso, tomando-se que na ausência de qualquer esclarecimento temos que ""peças originais"" é a regra?Fiz uma pesquisa no sistema de legislação da Susep e não encontrei a definição da pergunta (3), tampouco um esclarecimento sobre a interpretação da situação da pergunta (3) em nenhum ato normativo .Fico no aguardo das respostas e desde já agradeço a atenção.Atenciosamente,RicardoP.S.: Utilizei o recurso de CAIXA ALTA somente para dar ênfase no texto, pois nesta caixa de texto em que redigo a solicitação eu não posso negritar ou sublinhar o texto.Anexos Originais";Seguro de Automoveis
Sou segurada, possuo seguro junto a HDI SEGURO S.A -SOB APOLICE 33-333-333333333- infelizmente tive um sinistro no meu carro (HB33) em 33/33/3333, desde então venho solicitando um dos serviços incluso em meu seguro o Carro Reserva, e até a presente data 33/33/33 não consegui obter o veicula, seguradora está terceirizando  e repassando sua obrigações a uma locadora de veículos, gostaria de ressaltar que não possuo qualquer contrato com empresa de locação de veiculo e que meu contrato é estritamente com a HDI, diante disso a mesma deve honrar o que está em contrato e honrar os serviços fornecido e por mim pago. Necessito do veiculo para locomoção até o meu trabalho. Estou a 33 dias dependendo de outros meios para chegar ate ao meu trabalho, tem impactado a minha rotina. Necessito de vosso apoio afim de auxiliar a resolução e agilizar a situação.;Seguro de Automoveis
Boa tarde, Recebo um pequeno seguro-previdencia da Mongeral Aegon, MAG Seguros Seguros e Previdência S.A. / CNPJ 33.333.333.3333/33, Rua Travessa Belas Artes, 33 - Centro - 33333-333 - Rio de Janeiro, RJEntretanto desde o mês referência junho, que seria pago em julho deste ano não fizeram o pagamento com o reajuste anual devido.Já fiz diversas reclamações junto à seguradora e apesar de ser verba alimentar e eu ser uma idosa doente com oitenta e dois anos não tomaram providencias.As reclamações na Mongeral Aegon foram em 33/33/3333 registros ns. 33333333333 e 33333333333.No dia 33/33/3333 efetuei nova reclamação, desta vez na Ouvidoria deles sob o n. 33333/3333 e nada resolveram.;Seguro de Pessoas
Minha Susep de nº 333333333 está suspensa e não consigo saber o porque ela está SUSPENSA, e nem tão pouco como faço para regulariza-la, pois no site não há como fazer nenhum tipo de regularização.Por favor, solicito ajuda com relação a esse assunto, ´pois estou bloqueado na seguradora sem poder faturar.Fico na expectativa de um possível contato.AbraçosJoão Carlos;Cadastro
Estou precisando urgentemente que seja feito o desbloqueio da susep da Empresa, pois consta como suspensa, e já regularizamos conforme solicitado o envio do contrato social. Já não sei mais a quem recorrer, os prejuizos já são grandes com o fato do nosso código está suspenso.;Cadastro
AO REPRESENTATE DA SUPERINTENDÊNCIA DE SEGUROS PRIVADOSREF.: REQUERIMENTO DE INFORMAÇÕESEu, J, brasileiro, solteiro, autônomo, portador da identidade nº 33.333.333-3, inscrito no CPF sob nº 333.333.333-33, residente e domiciliado na Rua , 333, CEP 33333-333, São Paulo/SP, endereço eletrônico: joao_email, vem mui respeitosamente à presença de V. Exa., com fundamento no artigo 3º (XXXIII) da CF/33 c/c Lei 33.333/3333, art. 3º, IV, pelos motivos a seguir aduzidos.Na data de 33/33/3333, E, veio a falecer, conforme demonstra a certidão de óbito -  matrícula (333333 33 33 3333 3 33333 333 3333333-33).Assim, considerando os fatos e direito, solicita-se informações a respeito da existência de seguro (s) de vida e/ou semelhantes em que E tenha deixado como beneficiários os herdeiros legais.Desta feita, requer o levantamento das informações supramencionadas com a maior brevidade possível, pelo que há de mais justo.Nesses termos,Pede deferimento.São Paulo, 33 de fevereiro de 3333J;Seguro de Pessoas
"Sou desenvolvedor de sistema para o mercado de seguros, estou procurando uma forma de descobrir o número das apólices emitidas para o ""tomador"",Existe alguma forma de pesquisar os números das apólices, com qualquer outro dado, por exemplo CNPJ, CNJ etc...";Seguro de Pessoas
Tenho um seguro de um carro na Youse ao qual a seguradora está me enrolando o pagamento do sinistro querendo que eu pegue no Uber e 33 cadastro do meu carro como posso fazer isso se não tenho este cadastro junto estas empresas;Não identificada
em resposta ao e-mail me enviado, eis abaixo a reclamação feita no dia 33/33. não o farei novamente. protocolo 3fd3333df3bc3e3c;Não identificada
